Mois,Région,Production solaire (GWh),Production éolienne (GWh)
2014-01,Auvergne-Rhône-Alpes,18.500091,75.012542
2014-01,Bourgogne-Franche-Comté,5.513973,38.414048
2014-01,Bretagne,5.020116,200.068952
2014-01,Centre-Val de Loire,5.55269,214.292872
2014-01,Corse,5.869766,2.519086
2014-01,Grand Est,13.093452,535.484144
2014-01,Hauts-de-France,2.916058,525.159
2014-01,Normandie,2.86885,156.651038
2014-01,Nouvelle-Aquitaine,30.888721,98.886487
2014-01,Occitanie,40.34457,189.597415
2014-01,Pays de la Loire,9.607937,144.194423
2014-01,Provence-Alpes-Côte d'Azur,34.598372,8.227131
2014-01,Île-de-France,1.564473,5.468484
2014-02,Auvergne-Rhône-Alpes,26.68628,80.169361
2014-02,Bourgogne-Franche-Comté,8.132176,51.005514
2014-02,Bretagne,8.24817,218.675594
2014-02,Centre-Val de Loire,9.694815,272.083615
2014-02,Corse,6.580339,4.080485
2014-02,Grand Est,18.384388,609.541705
2014-02,Hauts-de-France,5.158841,561.909298
2014-02,Normandie,5.522769,166.27304
2014-02,Nouvelle-Aquitaine,48.047011,128.431987
2014-02,Occitanie,61.987479,198.132047
2014-02,Pays de la Loire,17.208138,179.658104
2014-02,Provence-Alpes-Côte d'Azur,44.076151,8.280625
2014-02,Île-de-France,2.931509,6.518965
2014-03,Auvergne-Rhône-Alpes,59.53177,70.370852
2014-03,Bourgogne-Franche-Comté,19.011925,25.048632
2014-03,Bretagne,15.246491,110.021567
2014-03,Centre-Val de Loire,20.297098,113.989175
2014-03,Corse,9.752518,3.274851
2014-03,Grand Est,47.284567,267.089705
2014-03,Hauts-de-France,11.888559,259.03039
2014-03,Normandie,10.17223,74.898272
2014-03,Nouvelle-Aquitaine,93.224384,57.464869
2014-03,Occitanie,116.568735,220.644746
2014-03,Pays de la Loire,33.101792,81.315766
2014-03,Provence-Alpes-Côte d'Azur,91.671047,8.544615
2014-03,Île-de-France,6.573901,2.870907
2014-04,Auvergne-Rhône-Alpes,65.104183,57.750445
2014-04,Bourgogne-Franche-Comté,20.577756,19.241434
2014-04,Bretagne,17.762345,103.039593
2014-04,Centre-Val de Loire,20.468846,90.848444
