Mois,Région,Rayonnement solaire global (W/m2),Vitesse du vent à 100m (m/s)
2016-01,Auvergne-Rhône-Alpes,54.62655870445344,2.973481781376517
2016-01,Bourgogne-Franche-Comté,44.291700404858304,5.730607287449392
2016-01,Bretagne,40.70372469635627,10.414089068825914
2016-01,Centre-Val de Loire,40.52761133603239,7.46696356275303
2016-01,Corse,76.96182186234822,5.793238866396762
2016-01,Grand-Est,38.77643724696355,6.13085020242915
2016-01,Hauts-de-France,37.96080971659918,8.295263157894734
2016-01,Ile-de-France,38.8795951417004,7.882550607287437
2016-01,Normandie,39.35170040485833,9.475425101214572
2016-01,Nouvelle-Aquitaine,52.32834008097168,6.082631578947369
2016-01,Occitanie,61.39161943319834,5.403724696356275
2016-01,Pays de la Loire,45.072064777327874,9.007368421052632
2016-01,Provence-Alpes-Côte d'Azur,72.25230769230768,5.983927125506073
2016-02,Auvergne-Rhône-Alpes,79.16133620689654,3.8069396551724184
2016-02,Bourgogne-Franche-Comté,66.48594827586207,6.5272413793103485
2016-02,Bretagne,74.72331896551718,9.946336206896554
2016-02,Centre-Val de Loire,75.904224137931,8.091810344827588
2016-02,Corse,110.70771551724135,6.277801724137932
2016-02,Grand-Est,65.88374999999994,6.926637931034482
2016-02,Hauts-de-France,68.0751293103448,8.39275862068965
2016-02,Ile-de-France,74.54866379310347,8.113793103448277
2016-02,Normandie,73.145948275862,9.29827586206897
2016-02,Nouvelle-Aquitaine,86.8653879310344,6.508232758620694
2016-02,Occitanie,99.47336206896549,7.578663793103442
2016-02,Pays de la Loire,86.44607758620685,9.242543103448277
2016-02,Provence-Alpes-Côte d'Azur,108.40974137931038,6.90211206896551
2016-03,Auvergne-Rhône-Alpes,148.13169172932334,3.846390977443607
2016-03,Bourgogne-Franche-Comté,135.5443396226414,5.854037735849058
2016-03,Bretagne,136.52954887218038,8.543834586466165
2016-03,Centre-Val de Loire,125.79432330827065,7.030714285714287
2016-03,Corse,181.27161654135352,5.987857142857146
2016-03,Grand-Est,118.70631578947368,5.711842105263161
2016-03,Hauts-de-France,120.33684210526316,7.107969924812033
2016-03,Ile-de-France,117.1826691729323,7.011127819548873
2016-03,Normandie,128.51515037593978,7.560563909774432
2016-03,Nouvelle-Aquitaine,139.08381132075473,5.62867924528302
2016-03,Occitanie,151.6080827067669,7.562894736842104
2016-03,Pays de la Loire,136.4586466165413,8.21992481203008
2016-03,Provence-Alpes-Côte d'Azur,180.42676691729335,6.127593984962404
2016-04,Auvergne-Rhône-Alpes,195.06150000000005,3.8092083333333315
2016-04,Bourgogne-Franche-Comté,177.67191666666668,4.816124999999998
2016-04,Bretagne,201.1447916666668,7.018499999999995
2016-04,Centre-Val de Loire,180.30816666666655,5.458416666666662
2016-04,Corse,235.77270833333333,5.225458333333333
2016-04,Grand-Est,183.41312499999998,4.496041666666668
2016-04,Hauts-de-France,194.43054166666676,5.899958333333332
2016-04,Ile-de-France,187.56324999999998,5.597291666666666
2016-04,Normandie,197.2394583333332,6.259999999999995
2016-04,Nouvelle-Aquitaine,194.5390833333333,4.914500000000004
2016-04,Occitanie,205.9064999999999,7.592666666666665
2016-04,Pays de la Loire,197.8592916666666,6.427416666666663
2016-04,Provence-Alpes-Côte d'Azur,237.38662500000024,6.171999999999995
2016-05,Auvergne-Rhône-Alpes,227.34770161290314,3.6102016129032255
2016-05,Bourgogne-Franche-Comté,205.90987903225806,4.870564516129033
2016-05,Bretagne,232.3571774193548,6.346209677419353
2016-05,Centre-Val de Loire,199.96766129032252,5.669677419354836
2016-05,Corse,277.77620967741944,5.5702419354838675
2016-05,Grand-Est,206.47100806451604,4.349838709677419
2016-05,Hauts-de-France,213.51479838709673,5.703508064516125
2016-05,Ile-de-France,199.88883064516136,5.518508064516127
2016-05,Normandie,231.61193548387092,6.180443548387097
2016-05,Nouvelle-Aquitaine,225.81737903225806,5.257943548387095
2016-05,Occitanie,239.38374999999988,7.245161290322583
2016-05,Pays de la Loire,223.46616935483866,6.191370967741942
2016-05,Provence-Alpes-Côte d'Azur,278.2189516129033,6.716250000000003
2016-06,Auvergne-Rhône-Alpes,235.69783333333345,2.9450416666666652
2016-06,Bourgogne-Franche-Comté,207.50849999999997,4.004041666666669
2016-06,Bretagne,222.37591666666665,5.882583333333331
2016-06,Centre-Val de Loire,192.49212500000002,4.995291666666661
2016-06,Corse,295.9650833333333,3.9415416666666667
2016-06,Grand-Est,203.04654166666663,3.8613750000000002
2016-06,Hauts-de-France,202.69808333333347,5.070458333333333
2016-06,Ile-de-France,188.93137499999992,4.831374999999995
2016-06,Normandie,215.2956666666667,5.410208333333336
2016-06,Nouvelle-Aquitaine,233.64904166666673,4.48316666666667
2016-06,Occitanie,258.45250000000004,6.323333333333333
2016-06,Pays de la Loire,218.94666666666672,5.588958333333334
2016-06,Provence-Alpes-Côte d'Azur,289.631375,4.939749999999999
2016-07,Auvergne-Rhône-Alpes,271.65395161290337,3.311169354838709
2016-07,Bourgogne-Franche-Comté,252.8374999999999,3.7962499999999983
2016-07,Bretagne,250.17665322580632,5.676733870967745
2016-07,Centre-Val de Loire,249.61875000000003,4.502217741935485
2016-07,Corse,301.56205645161276,3.5470161290322566
2016-07,Grand-Est,236.3792338709678,3.524798387096775
2016-07,Hauts-de-France,235.85649193548377,4.834919354838708
2016-07,Ile-de-France,228.00217741935492,4.512056451612905
2016-07,Normandie,248.26854838709653,5.175645161290318
2016-07,Nouvelle-Aquitaine,272.3120967741937,3.981572580645161
2016-07,Occitanie,280.62342741935475,6.397298387096777
2016-07,Pays de la Loire,258.6544354838711,5.378427419354839
2016-07,Provence-Alpes-Côte d'Azur,304.25770161290313,4.397741935483873
2016-08,Auvergne-Rhône-Alpes,248.688508064516,3.2071370967741935
2016-08,Bourgogne-Franche-Comté,228.31459677419355,3.7150806451612914
2016-08,Bretagne,222.1400806451613,5.981693548387095
2016-08,Centre-Val de Loire,231.725,4.538467741935478
2016-08,Corse,269.15157258064494,3.733790322580646
2016-08,Grand-Est,213.43826612903226,3.635483870967744
2016-08,Hauts-de-France,207.0796370967742,5.185241935483872
2016-08,Ile-de-France,213.3148790322579,4.780362903225803
2016-08,Normandie,218.90536290322572,5.58778225806452
2016-08,Nouvelle-Aquitaine,249.58173387096787,4.045806451612905
2016-08,Occitanie,259.8754032258064,5.9018548387096805
2016-08,Pays de la Loire,239.52608870967742,5.4654838709677405
2016-08,Provence-Alpes-Côte d'Azur,267.52278225806447,3.9491532258064517
2016-09,Auvergne-Rhône-Alpes,174.70004166666675,3.134958333333334
2016-09,Bourgogne-Franche-Comté,163.59579166666657,4.12925
2016-09,Bretagne,149.88329166666665,5.69583333333333
2016-09,Centre-Val de Loire,154.32137499999996,4.317749999999999
2016-09,Corse,196.42470833333334,3.6777499999999965
2016-09,Grand-Est,161.34941666666657,3.751458333333334
2016-09,Hauts-de-France,144.87783333333329,4.908333333333336
2016-09,Ile-de-France,145.6577499999999,4.669041666666663
2016-09,Normandie,145.27079166666664,5.393666666666666
2016-09,Nouvelle-Aquitaine,179.62070833333328,4.009624999999998
2016-09,Occitanie,192.08475000000004,6.283041666666665
2016-09,Pays de la Loire,159.6210416666667,4.9815000000000005
2016-09,Provence-Alpes-Côte d'Azur,196.79129166666664,3.642666666666666
2016-10,Auvergne-Rhône-Alpes,114.7483467741935,3.2842338709677406
2016-10,Bourgogne-Franche-Comté,108.1136290322581,4.500000000000002
2016-10,Bretagne,111.63338709677416,5.91806451612903
2016-10,Centre-Val de Loire,110.37548387096761,5.206532258064515
